,station_id,date,avg_temp_c,name,latitude,longitude
120,42724,2020-04-30,26.9,Agartala,23.8354042755,91.2799991445
121,42724,2020-05-01,27.9,Agartala,23.8354042755,91.2799991445
122,42724,2020-05-02,27.5,Agartala,23.8354042755,91.2799991445
123,42724,2020-05-03,26.4,Agartala,23.8354042755,91.2799991445
124,42724,2020-05-04,30.4,Agartala,23.8354042755,91.2799991445
125,42724,2020-05-05,30.7,Agartala,23.8354042755,91.2799991445
126,42724,2020-05-06,25.2,Agartala,23.8354042755,91.2799991445
127,42724,2020-05-07,27.9,Agartala,23.8354042755,91.2799991445
128,42724,2020-05-08,28.7,Agartala,23.8354042755,91.2799991445
129,42724,2020-05-09,31.2,Agartala,23.8354042755,91.2799991445
130,42724,2020-05-10,31.6,Agartala,23.8354042755,91.2799991445
131,42724,2020-05-11,32.1,Agartala,23.8354042755,91.2799991445
132,42724,2020-05-12,32.2,Agartala,23.8354042755,91.2799991445
133,42724,2020-05-13,29.4,Agartala,23.8354042755,91.2799991445
134,42724,2020-05-14,31.1,Agartala,23.8354042755,91.2799991445
135,42724,2020-05-15,29.4,Agartala,23.8354042755,91.2799991445
136,42724,2020-05-16,28.7,Agartala,23.8354042755,91.2799991445
137,42724,2020-05-17,32.1,Agartala,23.8354042755,91.2799991445
138,42724,2020-05-18,33.2,Agartala,23.8354042755,91.2799991445
139,42724,2020-05-19,30.5,Agartala,23.8354042755,91.2799991445
140,42724,2020-05-20,27.3,Agartala,23.8354042755,91.2799991445
141,42724,2020-05-21,27.7,Agartala,23.8354042755,91.2799991445
142,42724,2020-05-22,29.2,Agartala,23.8354042755,91.2799991445
143,42724,2020-05-23,31.3,Agartala,23.8354042755,91.2799991445
144,42724,2020-05-24,30.9,Agartala,23.8354042755,91.2799991445
145,42724,2020-05-25,30.6,Agartala,23.8354042755,91.2799991445
146,42724,2020-05-26,30.4,Agartala,23.8354042755,91.2799991445
147,42724,2020-05-27,22.6,Agartala,23.8354042755,91.2799991445
148,42724,2020-05-28,28.2,Agartala,23.8354042755,91.2799991445
149,42724,2020-05-29,27.6,Agartala,23.8354042755,91.2799991445
150,42724,2020-05-30,26.4,Agartala,23.8354042755,91.2799991445
151,42724,2020-05-31,29.4,Agartala,23.8354042755,91.2799991445
152,42724,2020-06-01,30.4,Agartala,23.8354042755,91.2799991445
153,42724,2020-06-02,31.1,Agartala,23.8354042755,91.2799991445
154,42724,2020-06-03,29.3,Agartala,23.8354042755,91.2799991445
155,42724,2020-06-04,26.8,Agartala,23.8354042755,91.2799991445
156,42724,2020-06-05,29.7,Agartala,23.8354042755,91.2799991445
157,42724,2020-06-06,28.6,Agartala,23.8354042755,91.2799991445
158,42724,2020-06-07,30.4,Agartala,23.8354042755,91.2799991445
159,42724,2020-06-08,26.8,Agartala,23.8354042755,91.2799991445
160,42724,2020-06-09,31.3,Agartala,23.8354042755,91.2799991445
161,42724,2020-06-10,28.5,Agartala,23.8354042755,91.2799991445
162,42724,2020-06-11,28.5,Agartala,23.8354042755,91.2799991445
163,42724,2020-06-12,27.7,Agartala,23.8354042755,91.2799991445
164,42724,2020-06-13,26.8,Agartala,23.8354042755,91.2799991445
165,42724,2020-06-14,31.2,Agartala,23.8354042755,91.2799991445
